number,species,site,region,sequence,crown.exp,canopy_scope,mode,X9,seen
pefoz_11_1,pefo,gzt11_1,ZT,1,3,12.5,TS,NA,1
cafoz_11_2,cafo,gzt11_2,ZT,2,1.5,5.5,SH,NA,1
pisiz_11_2,pisi,gzt11_2,ZT,2,1.5,4,AAR,NA,1
ecroz_11_2,ecro,gzt11_2,ZT,2,2.5,10,TS,NA,1
dimaz_11_2,dima,gzt11_2,ZT,2,2.5,7.5,TS,NA,1
smlaz_11_2,smla,gzt11_2,ZT,2,2,7,TT,NA,1
tebiz_11_2,tebi,gzt11_2,ZT,2,1,2.5,TT,NA,1
smbrz_11_2,smbr,gzt11_2,ZT,2,1,3.5,TT,NA,1
smbrz_11_3,smbr,gzt11_3,ZT,3,1.5,3.5,TT,NA,1
pefoz_11_4,pefo,gzt11_4,ZT,4,2.5,8.5,TS,NA,1
tebiz_28_1,tebi,gzt28_1,ZT,1,3,16,TT,NA,1
mutaz_28_1,muta,gzt28_1,ZT,1,1.5,5.5,TS,NA,1
ipcaz_28_1,ipca,gzt28_1,ZT,1,1.5,5.5,TS,NA,1
aeacz_28_1,aeac,gzt28_1,ZT,1,3,8.5,AAR,NA,1
kamaz_28_1,kama,gzt28_1,ZT,1,2.5,15,TS,NA,1
dimaz_28_1,dima,gzt28_1,ZT,1,2.5,12,TS,NA,1
fisaz_28_1,fisa,gzt28_1,ZT,1,1.5,5,AAR,NA,1
smbrz_28_1,smbr,gzt28_1,ZT,1,2,11,TT,NA,1
kamaz_28_2,kama,gzt28_2,ZT,2,1.5,5.5,TS,NA,1
tebiz_28_2,tebi,gzt28_2,ZT,2,2,8,TT,NA,1
smbrz_28_2,smbr,gzt28_2,ZT,2,2,5.5,TT,NA,1
aeacz_28_2,aeac,gzt28_2,ZT,2,1.5,2.5,AAR,NA,1
lypaz_28_2,lypa,gzt28_2,ZT,2,1.5,4.5,AAR,NA,1
pssez_28_2,psse,gzt28_2,ZT,2,1,3.5,AAR,NA,1
hyviz_28_2,hyvi,gzt28_2,ZT,2,1,3.5,AAR,NA,1
pisiz_28_2,pisi,gzt28_2,ZT,2,1,3.5,AAR,NA,1
aeacz_28_3,aeac,gzt28_3,ZT,3,3,7.5,AAR,NA,1
hyviz_28_3,hyvi,gzt28_3,ZT,3,2.5,7.5,AAR,NA,1
smlaz_28_4,smla,gzt28_4,ZT,4,1,5.5,TT,NA,1
cacoz_28_4,caco,gzt28_4,ZT,4,2,8.5,TT,NA,1
dimaz_28_4,dima,gzt28_4,ZT,4,2,10,TS,NA,1
smbrz_28_4,smbr,gzt28_4,ZT,4,2.5,7.5,TT,NA,1
pssez_28_4,psse,gzt28_4,ZT,4,1,4,AAR,NA,1
cafo_32_1,cafo,g32_1,L6,1,3,21,SH,NA,NA
smbr_32_1,smbr,g32_1,L6,1,2.5,11,TT,NA,NA
caco_32_1,caco,g32_1,L6,1,3,15.5,TT,NA,NA
tebi_32_1,tebi,g32_1,L6,1,3,22.5,TT,NA,NA
smla_32_1,smla,g32_1,L6,1,1,3.5,TT,NA,NA
muta_32_1,muta,g32_1,L6,1,2,13.5,TS,NA,NA
cafo_32_2,cafo,g32_2,L6,2,1.5,3,SH,NA,NA
tebi_32_2,tebi,g32_2,L6,2,2.5,18,TT,NA,NA
muta_32_3,muta,g32_3,L6,3,1,3.5,TS,NA,NA
